equipement;datetime;T_mu;debit_Ventulation
Baie_0001;03/02/2007;0,7875;39,4458
Baie_0001;04/02/2007;-0,175;44,1407
Baie_0001;05/02/2007;-6,5125;37,0894
Baie_0001;06/02/2007;-17,3875;15,7161
Baie_0001;07/02/2007;-17,8125;21,4512
Baie_0001;08/02/2007;-13,3625;29,711
Baie_0001;09/02/2007;-13,325;26,4026
Baie_0001;10/02/2007;-15,4625;16,5719
Baie_0001;11/02/2007;-6,2125;32,7501
Baie_0001;12/02/2007;-4,925;31,332
Baie_0001;13/02/2007;-6,875;30,0943
Baie_0001;14/02/2007;-7,45;29,012
Baie_0001;15/02/2007;-4,9625;29,1631
Baie_0001;16/02/2007;-2,8;37,9591
Baie_0001;17/02/2007;0,675;44,3204
Baie_0001;18/02/2007;0,4875;43,3995
Baie_0001;19/02/2007;-10,425;33,4946
Baie_0001;20/02/2007;-15,0875;24,0705
Baie_0001;22/02/2007;-15,1;26,4441
Baie_0001;23/02/2007;-14,075;25,5809
Baie_0001;24/02/2007;-9,4625;22,0845
Baie_0001;25/02/2007;-7,5875;29,7975
Baie_0001;26/02/2007;-6,9;34,2504
Baie_0001;27/02/2007;-5,2;33,6045
Baie_0001;28/02/2007;-2,1;36,7174
Baie_0001;01/03/2007;0,15;38,0749
Baie_0001;02/03/2007;0,8125;43,7068
Baie_0001;04/03/2007;0,8625;43,4391
Baie_0001;05/03/2007;0;33,7453
Baie_0001;06/03/2007;-1,4125;44,4861
Baie_0001;07/03/2007;1,5625;35,5433
Baie_0001;08/03/2007;2,225;43,7299
Baie_0001;09/03/2007;1,35;28,565
Baie_0001;10/03/2007;1,4625;32,1624
Baie_0001;11/03/2007;3,425;42,6428
Baie_0001;12/03/2007;1,1375;38,3075
Baie_0001;13/03/2007;3,6;36,4523
Baie_0001;14/03/2007;3,8625;46,4897
Baie_0001;15/03/2007;2,7;37,8557
Baie_0001;16/03/2007;3,7875;41,8534
Baie_0001;17/03/2007;1,075;35,5007
Baie_0001;18/03/2007;0,95;36,1463
Baie_0001;19/03/2007;2,4125;41,5232
Baie_0001;20/03/2007;2,9;37,9243
Baie_0001;21/03/2007;3,4;44,4802
Baie_0001;22/03/2007;4,725;32,886
Baie_0001;23/03/2007;3,6125;39,3057
Baie_0001;24/03/2007;5,1125;39,7197
Baie_0001;25/03/2007;6,314285714;41,86888571
Baie_0001;26/03/2007;7,625;49,45
Baie_0001;27/03/2007;7,3625;43,587
Baie_0001;28/03/2007;6,475;50,4276
Baie_0001;29/03/2007;5,3875;36,5069
Baie_0001;30/03/2007;6,1375;46,1503
Baie_0001;31/03/2007;4,9;49,8067
Baie_0001;01/04/2007;4,5625;46,882
Baie_0001;02/04/2007;7,325;41,8835
Baie_0001;03/04/2007;4,1375;35,5708
Baie_0001;04/04/2007;-0,6375;37,9109
Baie_0001;05/04/2007;4,425;43,3981
Baie_0001;06/04/2007;2,7;42,0095
Baie_0001;07/04/2007;1,725;40,8936
Baie_0001;08/04/2007;1,3;42,5001
Baie_0001;09/04/2007;0,7375;39,9113
Baie_0001;10/04/2007;2,625;38,8992
Baie_0001;11/04/2007;6,0125;37,2499
Baie_0001;12/04/2007;7,1375;51,0151
Baie_0001;13/04/2007;6,825;43,9448
Baie_0001;14/04/2007;10,7125;53,021
Baie_0001;15/04/2007;8,55;58,0305
Baie_0001;16/04/2007;7,942857143;41,33415714
Baie_0001;17/04/2007;8,525;40,6621
Baie_0001;18/04/2007;8,5625;39,5204
Baie_0001;19/04/2007;3,9125;39,3907
Baie_0001;20/04/2007;4,9125;40,6262
Baie_0001;21/04/2007;3,8;49,9542
Baie_0001;22/04/2007;6,6125;43,7386
Baie_0001;23/04/2007;3,8625;41,5858
Baie_0001;24/04/2007;6,4375;54,4517
Baie_0001;25/04/2007;6,8625;51,7343
Baie_0001;26/04/2007;7,9;54,3337
Baie_0001;27/04/2007;12,0375;48,9404
Baie_0001;28/04/2007;7,7375;42,8211
Baie_0001;29/04/2007;4,55;36,0263
Baie_0001;30/04/2007;3,485714286;47,17601429
Baie_0001;01/05/2007;2,957142857;42,39234286
Baie_0001;02/05/2007;4,2375;43,9068
Baie_0001;03/05/2007;4,6375;35,6322
Baie_0001;04/05/2007;4,625;41,2012
Baie_0001;05/05/2007;4,0625;44,9578
Baie_0001;06/05/2007;8,9125;47,62
Baie_0001;07/05/2007;9,6875;48,5938
Baie_0001;08/05/2007;6,7;45,8996
Baie_0001;09/05/2007;7,5;43,6103
Baie_0001;10/05/2007;10,225;53,2373
Baie_0001;12/05/2007;8,8375;47,2641
Baie_0001;13/05/2007;9,275;49,5229
Baie_0001;14/05/2007;9,525;43,4356
Baie_0001;15/05/2007;10,3875;45,2322
Baie_0001;16/05/2007;8,35;46,4054
Baie_0001;17/05/2007;10,3625;43,6047
Baie_0001;18/05/2007;11,675;41,5364
Baie_0001;19/05/2007;11,625;48,0721
Baie_0001;20/05/2007;12,5625;58,8008
Baie_0001;21/05/2007;12,975;60,7011
Baie_0001;22/05/2007;12,2;40,0189
Baie_0001;23/05/2007;12,275;49,328
Baie_0001;24/05/2007;10,35;51,3121
Baie_0001;25/05/2007;11,55;44,5629
Baie_0001;26/05/2007;13,725;51,6528
Baie_0001;27/05/2007;14,075;54,6105
Baie_0001;28/05/2007;18,225;50,9254
Baie_0001;29/05/2007;20,3875;53,0898
Baie_0001;30/05/2007;15,625;46,6474
Baie_0001;31/05/2007;16,7625;54,332
Baie_0001;01/06/2007;14,2125;49,5818
Baie_0001;02/06/2007;12,95;56,5753
Baie_0001;03/06/2007;13,4875;46,3599
Baie_0001;04/06/2007;15,9625;49,5774
Baie_0001;05/06/2007;16,4625;53,7238
Baie_0001;06/06/2007;19,7375;55,6748
Baie_0001;07/06/2007;19,7125;46,9208
Baie_0001;08/06/2007;20,275;54,3156
Baie_0001;09/06/2007;21,1;56,6365
Baie_0001;10/06/2007;18,25;55,0861
Baie_0001;11/06/2007;15,775;57,0654
Baie_0001;12/06/2007;15,6875;63,383
Baie_0001;13/06/2007;15,4125;53,9643
Baie_0001;14/06/2007;11,675;58,0418
Baie_0001;15/06/2007;13,5125;55,7852
Baie_0001;16/06/2007;14,0375;59,6193
Baie_0001;17/06/2007;14,25;52,9809
Baie_0001;18/06/2007;13,675;50,2359
Baie_0001;19/06/2007;14,9625;54,5152
Baie_0001;20/06/2007;14,7;52,5141
Baie_0001;21/06/2007;15,0125;55,3841
Baie_0001;22/06/2007;15,6625;56,9333
Baie_0001;23/06/2007;15;46,7171
Baie_0001;24/06/2007;17,6625;54,6791
Baie_0001;25/06/2007;19,125;49,1551
Baie_0001;26/06/2007;14,05714286;50,28214286
Baie_0001;27/06/2007;13,475;55,7754
Baie_0001;28/06/2007;13,15;47,633
Baie_0001;29/06/2007;14,2375;48,7439
Baie_0001;30/06/2007;15,8125;57,1306
Baie_0001;01/07/2007;17,3625;61,8416
Baie_0001;03/07/2007;19,075;54,8585
Baie_0001;04/07/2007;20,4;56,5949
Baie_0001;05/07/2007;21;62,2216
Baie_0001;06/07/2007;18,0375;56,5362
Baie_0001;07/07/2007;17,8875;62,3561
Baie_0001;08/07/2007;17,325;58,7807
Baie_0001;09/07/2007;16,1625;48,0655
Baie_0001;10/07/2007;16,6875;46,1834
Baie_0001;11/07/2007;15,8625;63,4252
Baie_0001;12/07/2007;16,95;58,1133
Baie_0001;13/07/2007;18,15;57,5603
Baie_0001;14/07/2007;17,65;51,0389
Baie_0001;15/07/2007;17,025;49,0947
Baie_0001;16/07/2007;19,3375;58,3011
Baie_0001;17/07/2007;19,0375;66,1635
Baie_0001;18/07/2007;18,6375;49,1664
Baie_0001;19/07/2007;17,775;60,0917
Baie_0001;20/07/2007;15,775;57,5699
Baie_0001;21/07/2007;15,25;52,8835
Baie_0001;22/07/2007;16,3;62,0395
Baie_0001;23/07/2007;16,4375;56,4078
Baie_0001;24/07/2007;16,1;48,39
Baie_0001;25/07/2007;17,7625;54,6583
Baie_0001;26/07/2007;20,4875;48,7708
Baie_0001;27/07/2007;18,4125;60,2184
Baie_0001;28/07/2007;17,11428571;56,00768571
Baie_0001;29/07/2007;16,0125;56,9441
Baie_0001;30/07/2007;15,175;59,4711
Baie_0001;31/07/2007;13,85;47,4333
Baie_0001;01/08/2007;16,3875;54,9598
Baie_0001;02/08/2007;16,1;47,4989
Baie_0001;03/08/2007;16,75;56,329
Baie_0001;04/08/2007;18,3375;48,2806
Baie_0001;05/08/2007;18,5875;52,7112
Baie_0001;06/08/2007;19,2375;61,1543
Baie_0001;07/08/2007;21,025;64,9962
Baie_0001;08/08/2007;21,475;57,7884
Baie_0001;09/08/2007;21,0625;63,0997
Baie_0001;10/08/2007;21,125;68,1244
Baie_0001;11/08/2007;21,8375;66,4045
Baie_0001;12/08/2007;21,5375;64,4915
Baie_0001;13/08/2007;22,8125;69,2634
Baie_0001;14/08/2007;20,95;58,4602
Baie_0001;15/08/2007;19,5375;58,3181
Baie_0001;16/08/2007;20,3625;61,0026
Baie_0001;17/08/2007;19,7;55,6087
Baie_0001;18/08/2007;17,2875;57,156
Baie_0001;19/08/2007;17,35;63,3604
Baie_0001;20/08/2007;16,6625;49,8617
Baie_0001;21/08/2007;18,5;56,9237
Baie_0001;22/08/2007;19,1625;60,4906
Baie_0001;23/08/2007;17,9125;45,4113
Baie_0001;24/08/2007;19,075;51,4209
Baie_0001;25/08/2007;17,5625;57,8314
Baie_0001;26/08/2007;14,3375;46,8807
Baie_0001;27/08/2007;12,975;46,4322
Baie_0001;28/08/2007;10,8625;51,4935
Baie_0001;29/08/2007;10,9;53,1598
Baie_0001;31/08/2007;8,9375;47,1515
Baie_0001;01/09/2007;8,4375;53,6524
Baie_0001;02/09/2007;12,275;45,0977
Baie_0001;03/09/2007;14,6875;49,836
Baie_0001;04/09/2007;12,4375;54,0179
Baie_0001;05/09/2007;12,075;55,7543
Baie_0001;06/09/2007;13,475;52,0654
Baie_0001;07/09/2007;11,4375;57,0427
Baie_0001;08/09/2007;10,3375;51,4597
Baie_0001;09/09/2007;11,6375;53,28
Baie_0001;10/09/2007;11,3125;46,0731
Baie_0001;11/09/2007;10,8875;53,3494
Baie_0001;12/09/2007;12,9125;46,9813
Baie_0001;13/09/2007;10,625;50,4238
Baie_0001;14/09/2007;9,3;45,5082
Baie_0001;15/09/2007;11,8375;49,234
Baie_0001;16/09/2007;9,075;52,4509
Baie_0001;17/09/2007;11,6875;42,1877
Baie_0001;18/09/2007;11,3875;46,7682
Baie_0001;19/09/2007;8,9375;47,7497
Baie_0001;20/09/2007;10,8125;56,4956
Baie_0001;21/09/2007;13,45;47,8976
Baie_0001;22/09/2007;13,1;56,2141
Baie_0001;23/09/2007;11,5125;49,9835
Baie_0001;25/09/2007;14,475;59,7878
Baie_0001;26/09/2007;13,8125;58,6738
Baie_0001;27/09/2007;12,9125;45,2923
Baie_0001;28/09/2007;10,4375;45,6104
Baie_0001;29/09/2007;13,2625;51,5596
Baie_0001;30/09/2007;14,1125;60,2882
Baie_0001;01/10/2007;13,375;49,0157
Baie_0001;02/10/2007;12,9;50,0304
Baie_0001;03/10/2007;10,55;40,9499
Baie_0001;04/10/2007;12,4125;52,2395
Baie_0001;05/10/2007;11,5875;41,3586
Baie_0001;06/10/2007;11,875;47,347
Baie_0001;07/10/2007;10,45;52,4279
Baie_0001;08/10/2007;9,3375;53,1133
Baie_0001;09/10/2007;6,9625;43,552
Baie_0001;10/10/2007;5,725;50,1358
Baie_0001;11/10/2007;3,6625;51,1607
Baie_0001;12/10/2007;3,525;38,5895
Baie_0001;13/10/2007;2,8125;38,8316
Baie_0001;14/10/2007;3,2875;38,222
Baie_0001;15/10/2007;9,5375;41,7682
Baie_0001;16/10/2007;9,3375;42,9041
Baie_0001;17/10/2007;11,525;50,9951
Baie_0001;18/10/2007;7,0125;42,462
Baie_0001;19/10/2007;5,05;33,1656
Baie_0001;20/10/2007;1,7125;42,5571
Baie_0001;21/10/2007;-0,25;41,651
Baie_0001;22/10/2007;1,575;43,2424
Baie_0001;23/10/2007;1,9375;46,1844
Baie_0001;24/10/2007;5,1375;45,1522
Baie_0001;26/10/2007;6,9625;45,5482
Baie_0001;27/10/2007;7,1375;48,8603
Baie_0001;28/10/2007;8,3875;38,1801
Baie_0001;29/10/2007;9,8875;42,9735
Baie_0001;30/10/2007;9,4875;45,5424
Baie_0001;31/10/2007;7,4625;45,5021
Baie_0001;01/11/2007;8,2625;52,7545
Baie_0001;02/11/2007;4,8625;42,9522
Baie_0001;03/11/2007;0,325;38,1926
Baie_0001;04/11/2007;-1,25;41,6061
Baie_0001;05/11/2007;0,3125;43,9722
Baie_0001;06/11/2007;3,5375;46,6659
Baie_0001;07/11/2007;2,5875;46,2319
Baie_0001;08/11/2007;4,05;43,1407
Baie_0001;09/11/2007;4,225;48,5512
Baie_0001;10/11/2007;3,925;50,1972
Baie_0001;11/11/2007;3,4375;36,7146
Baie_0001;12/11/2007;0,9375;34,6197
Baie_0001;13/11/2007;-1,325;38,5665
Baie_0001;14/11/2007;-2,257142857;30,65295714
Baie_0001;15/11/2007;-3,075;42,9741
Baie_0001;16/11/2007;0,55;42,7921
Baie_0001;17/11/2007;-2,65;40,6012
Baie_0001;18/11/2007;3,175;36,9695
Baie_0001;19/11/2007;3,9;38,6744
Baie_0001;20/11/2007;-0,275;38,7393
Baie_0001;21/11/2007;4,15;48,1083
Baie_0001;22/11/2007;2,95;44,9427
Baie_0001;23/11/2007;4,5875;54,4722
Baie_0001;24/11/2007;-1,2375;37,2928
Baie_0001;25/11/2007;2,2375;32,9188
Baie_0001;26/11/2007;1,1875;40,9605
Baie_0001;27/11/2007;-0,6875;38,7309
Baie_0001;28/11/2007;-2,3125;32,535
Baie_0001;29/11/2007;-3,3;37,5781
Baie_0001;30/11/2007;-3,8;41,2744
Baie_0001;01/12/2007;-2,0875;31,2483
Baie_0001;02/12/2007;1,8625;42,0449
Baie_0001;03/12/2007;2,125;36,5124
Baie_0001;04/12/2007;0,9375;38,1864
Baie_0001;05/12/2007;1,775;40,3421
Baie_0001;06/12/2007;5,5125;35,1675
Baie_0001;07/12/2007;5,1375;44,7748
Baie_0001;08/12/2007;5,4625;47,5001
Baie_0001;09/12/2007;4,6875;42,5584
Baie_0001;10/12/2007;4,075;36,6187
Baie_0001;11/12/2007;4,4875;38,6055
Baie_0001;12/12/2007;-0,25;41,9768
Baie_0001;13/12/2007;-3,2625;29,6849
Baie_0001;14/12/2007;-3,2625;38,8712
Baie_0001;15/12/2007;0,7;41,3353
Baie_0001;16/12/2007;-0,2875;32,8152
Baie_0001;17/12/2007;-1,0125;34,0434
Baie_0001;18/12/2007;1;37,602
Baie_0001;19/12/2007;1,7375;33,8765
Baie_0001;20/12/2007;4,475;36,1018
Baie_0001;21/12/2007;3,025;46,6422
Baie_0001;22/12/2007;0,9875;39,534
Baie_0001;23/12/2007;1,975;43,0982
Baie_0001;24/12/2007;3,475;46,2656
Baie_0001;25/12/2007;4,2875;47,4565
Baie_0001;26/12/2007;2,6875;48,5034
Baie_0001;28/12/2007;5,075;40,009
Baie_0001;29/12/2007;5,6125;44,0635
Baie_0001;30/12/2007;5,0375;53,0431
Baie_0001;31/12/2007;2,475;38,2045
Baie_0001;01/01/2008;1,3375;42,3589
Baie_0001;02/01/2008;0,125;48,0441
Baie_0001;03/01/2008;-2,9625;29,7584
Baie_0001;04/01/2008;-4,075;34,8948
Baie_0001;05/01/2008;-4,7875;24,4189
Baie_0001;06/01/2008;-3,925;36,2517
Baie_0001;07/01/2008;-3,4875;37,2606
Baie_0001;08/01/2008;-2,275;37,2213
Baie_0001;09/01/2008;-0,725;44,1554
Baie_0001;10/01/2008;2,442857143;44,34245714
Baie_0001;11/01/2008;3,175;39,1845
Baie_0001;12/01/2008;3,45;39,0529
Baie_0001;13/01/2008;2,7625;47,5235
Baie_0001;14/01/2008;2,575;44,2041
Baie_0001;16/01/2008;3,0625;36,1714
Baie_0001;17/01/2008;3,2875;49,102
Baie_0001;21/01/2008;2,075;40,343
Baie_0001;22/01/2008;-1,15;41,6024
Baie_0001;23/01/2008;-1,8125;46,1625
Baie_0001;24/01/2008;0,525;39,1871
Baie_0001;25/01/2008;2,425;36,3007
Baie_0001;26/01/2008;1,5375;40,1571
Baie_0001;27/01/2008;-1,175;40,6481
Baie_0001;28/01/2008;-1,1;34,9477
Baie_0001;29/01/2008;3,15;44,5426
Baie_0001;30/01/2008;2,175;39,7956
Baie_0001;31/01/2008;0,9625;43,8119
Baie_0001;01/02/2008;1,3875;36,4453
Baie_0001;02/02/2008;2,7375;37,919
Baie_0001;03/02/2008;-0,15;46,7505
Baie_0001;04/02/2008;1,1875;41,2414
Baie_0001;05/02/2008;1,7;28,1644
Baie_0001;06/02/2008;2,3875;41,2484
Baie_0001;07/02/2008;1,325;41,5867
Baie_0001;08/02/2008;1,975;37,9367
Baie_0001;09/02/2008;3,05;40,8278
Baie_0001;10/02/2008;3,4625;41,2938
Baie_0001;11/02/2008;2,45;48,9936
Baie_0001;12/02/2008;1,483333333;27,82303333
Baie_0001;13/02/2008;1,614285714;28,95158571
Baie_0001;14/02/2008;-1,7375;38,3924
Baie_0001;15/02/2008;-5,0375;32,3829
Baie_0001;16/02/2008;-5,8375;20,4936
Baie_0001;17/02/2008;0,8625;44,1648
Baie_0001;18/02/2008;-0,625;42,9019
Baie_0001;19/02/2008;-2,025;33,8259
Baie_0001;20/02/2008;-0,025;42,0203
Baie_0001;21/02/2008;1,55;39,7817
Baie_0001;22/02/2008;4,05;37,1794
Baie_0001;23/02/2008;2,725;46,6456
Baie_0001;24/02/2008;1,8;34,1994
Baie_0001;25/02/2008;4,3875;42,3425
Baie_0001;26/02/2008;2;41,0377
Baie_0001;27/02/2008;3,2625;32,7608
Baie_0001;28/02/2008;0,7375;38,6237
Baie_0001;29/02/2008;0,075;32,2369
Baie_0001;01/03/2008;0,628571429;43,95097143
Baie_0001;02/03/2008;0,075;34,666
Baie_0001;03/03/2008;-1,125;30,5582
Baie_0001;04/03/2008;-3,6375;31,7495
Baie_0001;05/03/2008;-2,925;32,3368
Baie_0001;06/03/2008;0,225;34,8465
Baie_0001;07/03/2008;1,575;44,0197
Baie_0001;08/03/2008;0,45;48,8488
Baie_0001;09/03/2008;2,4;37,1625
Baie_0001;10/03/2008;4,8375;44,6568
Baie_0001;11/03/2008;4,5375;41,1886
Baie_0001;12/03/2008;2,775;46,0921
Baie_0001;13/03/2008;1,157142857;36,82314286
Baie_0001;14/03/2008;2,3625;31,6119
Baie_0001;15/03/2008;0,475;38,0072
Baie_0001;16/03/2008;-0,2875;40,3928
Baie_0001;17/03/2008;0,5625;31,6523
Baie_0001;18/03/2008;0,5;39,1894
Baie_0001;19/03/2008;-0,95;45,9519
Baie_0001;20/03/2008;-2,675;36,5705
Baie_0001;21/03/2008;-3,6875;34,7936
Baie_0001;22/03/2008;-2,9875;30,3125
Baie_0001;23/03/2008;-2,9875;28,6436
Baie_0001;24/03/2008;-3,0875;34,3754
Baie_0001;25/03/2008;-0,5375;40,4285
Baie_0001;26/03/2008;-3,375;39,2059
Baie_0001;27/03/2008;-1,3125;40,9129
Baie_0001;28/03/2008;0,95;37,8157
Baie_0001;29/03/2008;3,45;46,19
Baie_0001;30/03/2008;3,914285714;37,26258571
Baie_0001;31/03/2008;5,4625;33,2537
Baie_0001;01/04/2008;6,775;37,4606
Baie_0001;02/04/2008;4,5375;40,6029
Baie_0001;03/04/2008;6,1375;52,2396
Baie_0001;04/04/2008;5,275;46,3074
Baie_0001;05/04/2008;1,9625;40,1273
Baie_0001;06/04/2008;5,775;36,4104
Baie_0001;07/04/2008;6,4;50,1696
Baie_0001;08/04/2008;6,4875;36,5821
Baie_0001;09/04/2008;4,0375;35,4135
Baie_0001;10/04/2008;3,625;34,6159
Baie_0001;11/04/2008;3,575;37,1698
Baie_0001;12/04/2008;4,6375;44,5533
Baie_0001;13/04/2008;2,85;43,4973
Baie_0001;14/04/2008;4,35;39,6357
Baie_0001;15/04/2008;3,5375;34,9039
Baie_0001;16/04/2008;3,975;44,8124
Baie_0001;17/04/2008;5,475;47,5638
Baie_0001;21/04/2008;5,375;43,2297
Baie_0001;22/04/2008;6,3625;40,0887
Baie_0001;23/04/2008;6,5375;46,3172
Baie_0001;24/04/2008;7,6875;51,126
Baie_0001;25/04/2008;7,2625;52,0555
Baie_0001;26/04/2008;8,475;40,055
Baie_0001;27/04/2008;9,625;43,9771
Baie_0001;28/04/2008;9,2375;51,0109
Baie_0001;29/04/2008;10,8;49,9777
Baie_0001;01/05/2008;13,04285714;51,95575714
Baie_0001;02/05/2008;15,275;52,553
Baie_0001;03/05/2008;13,6375;53,5557
Baie_0001;04/05/2008;13,625;41,0354
Baie_0001;08/05/2008;10,85;54,4758
Baie_0001;09/05/2008;11,625;44,6331
Baie_0001;12/05/2008;11,0625;41,5259
Baie_0001;13/05/2008;7,4875;51,4616
Baie_0001;14/05/2008;6,225;37,9321
Baie_0001;15/05/2008;5,525;45,8025
Baie_0001;16/05/2008;6,075;47,7428
Baie_0001;17/05/2008;7,2625;52,6699
Baie_0001;18/05/2008;8,325;39,2409
Baie_0001;19/05/2008;7,6125;49,4743
Baie_0001;20/05/2008;9,4375;51,4493
Baie_0001;21/05/2008;9,828571429;45,54997143
Baie_0001;22/05/2008;10,225;42,6019
Baie_0001;23/05/2008;10,5125;50,6782
Baie_0001;24/05/2008;10,125;59,8463
Baie_0001;25/05/2008;10,15;42,7539
Baie_0001;26/05/2008;12,3;52,05
